,City,Lat,Lng,Temp,Humidity,Max Temp,Cloudiness,Wind Speed,Country,Date
0,Nome,64.5,-165.41,49.87,76,51.8,20,7.63,US,1598537180
1,Klaksvík,62.23,-6.59,53.6,87,53.6,39,10.29,FO,1598537180
2,Hambantota,6.12,81.12,86.0,74,86.0,20,10.29,LK,1598537180
3,Dublin,37.7,-121.94,55.69,82,59.0,90,3.36,US,1598537180
4,Bengkulu,-3.8,102.27,77.94,82,77.94,3,6.58,ID,1598537180
5,Cape Town,-33.93,18.42,64.36,59,66.99,75,11.41,ZA,1598536884
6,Santa Helena de Goiás,-17.81,-50.6,83.1,15,83.1,95,9.51,BR,1598536945
7,Ushuaia,-54.8,-68.3,37.4,74,37.4,40,11.41,AR,1598536881
8,Shimoda,34.67,138.95,75.99,96,75.99,10,8.03,JP,1598537181
9,Rikitea,-23.12,-134.97,67.6,62,67.6,0,4.07,PF,1598537181
10,Skjervøy,70.03,20.97,51.8,62,51.8,75,16.11,NO,1598537181
11,Busselton,-33.65,115.33,51.4,73,53.01,0,6.73,AU,1598537181
12,Thanh Hoa,19.8,105.77,81.03,84,81.03,78,4.76,VN,1598537181
13,Kangaba,11.93,-8.42,81.45,80,81.45,72,8.14,ML,1598537181
14,Nemuro,43.32,145.57,67.55,97,67.55,99,8.34,JP,1598537181
15,Hermanus,-34.42,19.23,64.0,70,64.0,12,1.01,ZA,1598537181
16,Ilulissat,69.22,-51.1,42.8,70,42.8,75,4.68,GL,1598536890
17,Westport,41.14,-73.36,69.17,82,71.01,98,6.98,US,1598537182
18,Port Alfred,-33.59,26.89,68.4,63,68.4,0,21.36,ZA,1598537182
19,Norman Wells,65.28,-126.83,41.0,100,41.0,75,2.24,CA,1598537182
20,Isangel,-19.55,169.27,71.49,85,71.49,100,17.85,VU,1598537182
21,Tuktoyaktuk,69.45,-133.04,39.2,86,39.2,90,11.41,CA,1598537182
22,Sinnamary,5.38,-52.95,86.32,64,86.32,0,4.85,GF,1598537182
23,Hilo,19.73,-155.09,63.12,83,71.6,90,3.36,US,1598537183
24,Agbor,6.25,6.19,84.27,71,84.27,62,6.71,NG,1598537183
25,Yomou,7.56,-9.27,79.41,84,79.41,51,3.29,GN,1598537183
26,Huangmei,30.19,116.03,75.07,85,75.07,0,4.43,CN,1598537105
27,Kaitangata,-46.28,169.85,37.99,87,37.99,100,5.37,NZ,1598537183
28,Codrington,-38.27,141.97,46.83,70,46.83,0,11.45,AU,1598537183
29,Bredasdorp,-34.53,20.04,68.0,45,68.0,0,4.7,ZA,1598537183
30,Jinji,23.23,110.83,77.59,64,77.59,0,1.57,CN,1598537184
31,San Miguel de Cozumel,20.51,-86.95,81.55,94,84.0,20,4.7,MX,1598537184
32,Magdagachi,53.45,125.8,48.18,83,48.18,24,4.59,RU,1598537184
33,Bloomingdale,27.89,-82.24,85.41,74,88.0,1,6.93,US,1598537184
34,Lebu,-37.62,-73.65,49.87,85,49.87,99,10.92,CL,1598537184
35,Puerto Ayora,-0.74,-90.35,66.0,90,66.0,69,5.01,EC,1598537184
36,Khatanga,71.97,102.5,57.24,76,57.24,55,4.0,RU,1598537185
37,Saldanha,-33.01,17.94,62.6,63,62.6,42,11.41,ZA,1598537185
